smiles,index,HOMO,LUMO
[Fr]C1=CN=C([Cs])C=N1,0,-6.826251804,-1.418258168
[Fr]C1=CC=C([Cs])C=N1,1,-6.87223907,-0.612800728
[Fr]C1=CC=C([Cs])C=C1,2,-6.701351478,0.097144698
[Fr]C1=CC=C([Cs])S1,3,-6.334269692,-0.207895096
[Fr]C1=CC(C)=C([Cs])S1,4,-6.170729178,-0.07074964
[Fr]C1=CN=C(S1)[Cs],5,-6.862987194,-0.744503904
[Fr]C1=CC(F)=C(S1)[Cs],6,-6.434951872,-0.444090048
[Fr]C1=CC(Cl)=C(S1)[Cs],7,-6.542709016,-0.614705526
[Fr]C1=C(F)C(F)=C(S1)[Cs],8,-6.758495418,-0.607630562
[Fr]C1=C(C#N)C(C#N)=C(S1)[Cs],9,-7.738377932,-2.076501934
[Fr]C1=CC(C#N)=C(S1)[Cs],10,-7.093467752,-1.373903586
[Fr]C1=C(Cl)C(Cl)=C(S1)[Cs],11,-6.82189798,-0.924915486
[Fr]C1=CC(SC([Cs])=C2)=C2S1,12,-5.851267342,-0.725728038
[Fr]C1=CC2=C(C(C=C(C(F)(F)C3=C4SC([Cs])=C3)C4=C5)=C5C2(F)F)S1,13,-5.670311532,-2.117863262
[Fr]C1=CC2=C(C(C=C(C(Cl)(Cl)C3=C4SC([Cs])=C3)C4=C5)=C5C2([Cl])Cl)S1,14,-5.779973474,-2.348615934
[Fr]C1=CC2=C(C(C=C(C(C#N)(C#N)C3=C4SC([Cs])=C3)C4=C5)=C5C2(C#N)C#N)S1,15,-6.326106272,-2.547259154
[Fr]C1=CC2=C(C(SC([Cs])=C3)=C3C2(F)F)S1,16,-5.649630868,-1.70751535
[Fr]C1=CC2=C(C(SC([Cs])=C3)=C3C2(Cl)Cl)S1,17,-5.736435234,-1.915410446
[Fr]C1=CC2=C(C(SC([Cs])=C3)=C3C2(C#N)C#N)S1,18,-6.143517778,-1.98371106
O=C(/C1=C2C(C=CC([Cs])=C3F)=C3N(C)C\2=O)N(C)C4=C1C=CC([Fr])=C4F,19,-5.818341548,-2.914068826
O=C(/C1=C2C(C=CC([Cs])=C3)=C3N(C)C\2=O)N(C)C4=C1C=CC([Fr])=C4,20,-5.571806264,-2.65719321
O=C(/C1=C2C(C=CC([Cs])=N3)=C3N(C)C\2=O)N(C)C4=C1C=CC([Fr])=N4,21,-5.959840828,-2.963049346
O=C(/C1=C2C(C=NC([Cs])=C3)=C3N(C)C\2=O)N(C)C4=C1C=NC([Fr])=C4,22,-6.148143716,-3.041690292
O=C(/C1=C2C(SC([Cs])=C3)=C3N(C)C\2=O)N(C)C4=C1SC([Fr])=C4,23,-5.023496554,-2.52249678
[Fr]C1=CC(N(C)C(/C2=C3C(C=C(OC(/C4=C5C(C=CC([Cs])=C6)=C6N(C)C\5=O)=O)C4=C7)=C7OC\3=O)=O)=C2C=C1,24,-5.75385053,-3.415302814
[Fr]C1=C(F)C(N(C)C(/C2=C3C(C=C(OC(/C4=C5C(C=C(F)C([Cs])=C6F)=C6N(C)C\5=O)=O)C4=C7)=C7OC\3=O)=O)=C2C=C1F,25,-6.060523008,-3.77150004
[Fr]C1=NC(N(C)C(/C2=C3C(C=C(OC(/C4=C5C(C=CC([Cs])=N6)=C6N(C)C\5=O)=O)C4=C7)=C7OC\3=O)=O)=C2C=C1,26,-6.01916168,-3.644694916
Cn(c(=O)c(cc([Fr])s1)c1c2c3nc([Cs])s2)c3=O,27,-6.50760631,-2.456917306
Cn(c(=O)c(nc([Fr])s1)c1c2c3nc([Cs])s2)c3=O,28,-6.852374748,-2.609301146
Cn(c(=O)c(cc([Fr])s1)c1c2c3cc([Cs])s2)c3=O,29,-6.184062764,-2.305894036
CN(C([Fr])=C1C2=C([Cs])N(C)C1=O)C2=O,30,-5.525002656,-2.175007202
[Fr]C1=CC=C([Cs])C2=NSN=C21,31,-6.609921174,-2.345078452
[Fr]C1=NC=C([Cs])C2=NSN=C21,32,-7.086937016,-2.821550066
CC1(C)C2=C(SC([Fr])=C2)C3=C1C=C([Cs])S3,33,-5.182955358,-1.01090351
[Fr]C1=CC=C(C=C([Cs])N=C2)C2=C1,34,-6.21372319,-1.38642083
[Fr]C1=CC2=C(C=C([Cs])C3=NSN=C32)C4=NSN=C41,35,-6.451278712,-2.855020088
[Fr]C1=C(N=S=N2)C2=C([Cs])S1,36,-5.992222394,-2.74699083
[Fr]C1=CC(C=CC([Cs])=C2)=C2C=C1,37,-5.787592666,-0.958929736
[Fr]C1=CC(F)=C([Cs])C2=NSN=C21,38,-6.733733044,-2.493380582
