name,U1_index,U2_index,Bridge_atom1,Bridge_atom2,smiles,delta_E,COS2,E_0,E_10,E_20,E_30,E_40,E_50,E_60,E_70,E_80,E_90,E_100,E_110,E_120,E_130,E_140,E_150,E_160,E_170,E_180,dihes_1,dihes_2,dihes_3,dihes_4,ori_ang,new_name,new_cos2
90,0,80,2,3,[H]c1nc(N=N[H])c([H])nc1[H],3.67089255,0.823353109,0.08785042,0.05020024,0,0.03765018,0.29492641,0.83457899,1.60640768,2.45981176,3.2002653,3.64579243,3.67089255,3.28184069,2.61041248,1.89505906,1.3177563,0.97262965,0.85340408,0.85967911,0.8785042,2,3,4,11,-180,89,0.823353109
160,0,143,2,3,[H]c1nc(-c2sc3c(-c4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])c4c([H])c([H])sc4c(-c4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])c3c2[H])c([H])nc1[H],6.48838102,0.935282643,2.11468511,0.86595414,1.15460552,1.67543301,2.43471164,3.39479123,4.47409639,5.51575137,6.27503,6.48838102,6.09305413,5.23965005,4.12896974,2.9492641,1.87623397,1.02282989,0.4392521,0.11295054,0,2,3,4,35,-180,157,0.935282643
157,0,140,2,3,[H]c1nc(-c2sc3c(-c4sc(C([H])([H])[H])c(F)c4[H])c4c([H])c([H])sc4c(-c4sc(C([H])([H])[H])c(F)c4[H])c3c2[H])c([H])nc1[H],6.62643168,0.942421835,0,0.11922557,0.45807719,1.06048007,1.92643421,3.01828943,4.21682016,5.34632556,6.21855473,6.62643168,6.43190575,5.70400227,4.68744741,3.62696734,2.66688775,1.90133409,1.36795654,1.05420504,0.94752953,2,3,4,31,-180,0,0.942421835
91,0,81,2,3,[H]c1nc(-c2c([H])c(OC([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])c([H])nc1[H],6.99665845,0.816471388,0.26355126,0.16315078,0,0.01255006,0.34512665,1.01655486,1.93898427,2.92416398,3.72736782,4.11641968,4.08504453,3.78384309,3.43244141,3.24419051,3.40106626,4.0160192,5.05767418,6.28758006,6.99665845,2,3,4,12,-180,90,0.816471388
71,0,60,2,3,[H]c1nc(-c2sc3c(c2[H])C(c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])(c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c2c([H])c4c(c([H])c2-3)C(c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])(c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c2c-4sc([H])c2[H])c([H])nc1[H],7.39198534,0.945214415,1.09813025,1.18598067,1.49345714,2.04565978,2.85513865,3.8905186,5.06394921,6.23737982,7.12843408,7.39198534,6.902533,5.87342808,4.56822184,3.23164045,2.03938475,1.11068031,0.47062725,0.11295054,0,2,3,4,8,-180,70,0.945214415
24,0,18,2,3,[H]c1nc(-c2sc3c(c2[H])C(C#N)(C#N)c2c-3sc([H])c2[H])c([H])nc1[H],7.41081043,0.946675914,1.56248247,1.65033289,1.95153433,2.48491188,3.25674057,4.24819531,5.36515065,6.45073084,7.23510959,7.41081043,6.88370791,5.85460299,4.56822184,3.25046554,2.0707599,1.13578043,0.48945234,0.11922557,0,2,3,4,8,-180,24,0.946675914
27,0,21,2,3,[H]c1nc(-c2nc3c(c([H])c2[H])/C(=C2\C(=O)N(C([H])([H])[H])c4nc([H])c([H])c([H])c42)C(=O)N3C([H])([H])[H])c([H])nc1[H],8.157539,0.953978321,0,0.14432569,0.57102773,1.29893121,2.32803613,3.62069231,5.08904933,6.5260312,7.64926157,8.157539,8.01321331,7.41081043,6.62015665,5.88597814,5.39025077,5.22709999,5.37142568,5.65380203,5.80440275,2,3,4,9,-180,27,0.953978321
28,0,22,2,3,[H]c1nc(-c2nc([H])c3c(c2[H])N(C([H])([H])[H])C(=O)/C3=C2/C(=O)N(C([H])([H])[H])c3c([H])c([H])nc([H])c32)c([H])nc1[H],9.13016865,0.959848305,0,0.16315078,0.65887815,1.47463205,2.62296254,4.04739435,5.647527,7.22255953,8.4712905,9.12389362,9.13016865,8.67836649,8.02576337,7.41708546,7.04058366,6.99038342,7.24138462,7.61788642,7.81868738,2,3,4,9,-180,28,0.959848305
243,1,24,2,3,[H]c1nc(-c2c([H])c([H])c3c(c2[H])N(C([H])([H])[H])C(=O)/C3=C2/C(=O)Oc3c([H])c4c(c([H])c32)OC(=O)/C4=C2/C(=O)N(C([H])([H])[H])c3c([H])c([H])c([H])c([H])c32)c([H])c([H])c1[H],5.75420251,0.889184035,1.15460552,1.11068031,1.07930516,1.255006,1.7570084,2.59158739,3.6395174,4.7062725,5.50947634,5.75420251,5.3337755,4.36742088,3.137515,1.91388415,0.92870444,0.30120144,0.03137515,0,0.01882509,39,2,3,4,-180,282,0.889184035
239,1,22,2,3,[H]c1nc(-c2nc([H])c3c(c2[H])N(C([H])([H])[H])C(=O)/C3=C2/C(=O)N(C([H])([H])[H])c3c([H])c([H])nc([H])c32)c([H])c([H])c1[H],10.040048,0.964147265,0,0.1882509,0.73417851,1.64405786,2.89278883,4.43017118,6.14325437,7.81868738,9.17409386,9.93337249,10.040048,9.67609626,9.08624344,8.51521571,8.17008906,8.14498894,8.4085402,8.785042,8.96074284,25,2,3,8,-180,278,0.964147265
1539,5,123,2,3,[H]c1nc(-c2sc3c(c2[H])c([H])c([H])c2c([H])c([H])sc23)sc1[H],6.16207946,0.93997635,0,0.11295054,0.46435222,1.04793001,1.85113385,2.83631356,3.91561872,4.96354873,5.77930263,6.16207946,6.00520371,5.3965258,4.5180216,3.5767671,2.71708799,2.05193481,1.60640768,1.36168151,1.29265618,1,2,3,7,-180,1810,0.93997635
1960,6,152,1,2,[H]c1c(-c2sc([H])nc2C([H])([H])[H])sc([H])c1F,1.21108079,0.636269899,0.23845114,0.23217611,0.20707599,0.21335102,0.27610132,0.43297707,0.67142821,0.93497947,1.14205546,1.21108079,1.08558019,0.80320384,0.45180216,0.15060072,0,0.05020024,0.30120144,0.65260312,0.84085402,0,1,2,6,-180,2305,0.636269899
4756,21,99,14,15,[H]c1c([H])nc2c(c1[H])/C(=C1\C(=O)N(C([H])([H])[H])c3nc(-c4sc5c(c4[H])c(=O)n(C([H])([H])[H])c(=O)c4c([H])c6c(c([H])c45)c(=O)n(C([H])([H])[H])c(=O)c4c([H])c([H])sc46)c([H])c([H])c31)C(=O)N2C([H])([H])[H],7.79986229,0.950461117,1.58130756,1.66288295,1.97035942,2.53511212,3.35714105,4.41134609,5.60987682,6.77075737,7.61161139,7.79986229,7.24765965,6.18717958,4.84432316,3.46381656,2.22136062,1.22990588,0.53337755,0.13177563,0,43,14,15,19,-180,5808,0.950461117
9474,50,91,1,2,[H]c1c(-c2c3c(c([H])c4nn(C([H])([H])[H])nc24)N=S=N3)[se]c([H])c1C([H])([H])[H],8.02576337,0.969631448,0.35140168,0.58985282,1.255006,2.21508559,3.30694081,4.46782136,5.647527,6.77075737,7.68691175,8.02576337,7.61161139,6.74565725,5.647527,4.40507106,3.11868991,1.90760912,0.90360432,0.23217611,0,0,1,2,11,-180,11648,0.969631448
9704,51,112,3,4,[H]c1c([H])[se]c(-c2nnc([H])s2)c1[H],6.29385509,0.944305656,0,0.13177563,0.52710252,1.16715558,2.02055966,3.04338955,4.15406986,5.21454993,6.01147874,6.29385509,5.98010359,5.25220011,4.35487082,3.46381656,2.6982629,2.12096014,1.75073337,1.55620744,1.49973217,9,3,4,5,-180,11958,0.944305656
10438,57,123,8,9,[H]c1c([H])sc2c1sc1c([H])c(-c3sc4c(c3[H])c([H])c([H])c3c([H])c([H])sc34)sc12,3.48891668,0.839081151,0.01882509,0,0.01255006,0.17570084,0.55847767,1.15460552,1.90133409,2.67943781,3.2630156,3.48891668,3.29439075,2.79866338,2.17116038,1.58130756,1.16715558,0.99145474,1.05420504,1.26128103,1.38678163,7,8,9,13,-180,12932,0.839081151
