poly1_smiles,poly2_smiles,class,Mn(kg/mol),PDI,HOMO(eV),LUMO(eV),u_h,u_e,uC*,Vth(eV),dimers1,dimers2,DOI,U_index
[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.CCCC[N+](CCCC)(CCCC)CCCC,[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.CCCC[N+](CCCC)(CCCC)CCCC,HP,42000,1.09,,,0.0013,,5.5,,['CC1=CSC(C2=C(C)C=CS2)=C1'],['CC1=CSC(C2=C(C)C=CS2)=C1'],https://doi.org/10.1002/adma.201403150,[4]
S1C2C(C=C1[Cs])=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,S1C2C(C=C1[Cs])=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,HP,4.2,1.54,-4.9,-2.72,0.001,,,-0.63,"['COC1=C2C(SC(C(S3)=CC4=C3C(OC)=C5C(SC=C5)=C4OC)=C2)=C(OC)C6=C1SC=C6','COC1=C2C(SC(C(S3)=CC4=C3C(OC)=C5C(SC=C5)=C4OC)=C2)=C(OC)C6=C1SC=C6']","['COC1=C2C(SC(C(S3)=CC4=C3C(OC)=C5C(SC=C5)=C4OC)=C2)=C(OC)C6=C1SC=C6','COC1=C2C(SC(C(S3)=CC4=C3C(OC)=C5C(SC=C5)=C4OC)=C2)=C(OC)C6=C1SC=C6']",https://doi.org/10.1021/jacs.6b05280,[43]
S1C2C(C=C1C1SC([Cs])=CC=1)=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,S1C2C(C=C1C1SC([Cs])=CC=1)=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,HP,,,-4.83,-2.71,0.001,,,-0.582857143,"['COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4','COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4']","['COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4','COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4']",https://doi.org/10.1021/jacs.6b05280,"[3, 43]"
S1C2C(C=C1C1SC(C3=CC=C([Cs])S3)=CC=1)=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,S1C2C(C=C1C1SC(C3=CC=C([Cs])S3)=CC=1)=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,HP,,,-4.92,-2.85,0.009,,,-0.588571429,"['COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4','COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4','C1(C2=CC=CS2)=CC=CS1']","['COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4','COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4','C1(C2=CC=CS2)=CC=CS1']",https://doi.org/10.1021/jacs.6b05280,"[3, 3, 43]"
S1C2C(C=C1C1SC(C3=C(OCCOCCOCCOC)C=C([Cs])S3)=C(OCCOCCOCCOC)C=1)=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,S1C2C(C=C1C1SC(C3=C(OCCOCCOCCOC)C=C([Cs])S3)=C(OCCOCCOCCOC)C=1)=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,HP,22.1,1.89,-4.43,-2.55,0.01,,4.8,-0.323333333,"['COC1=CSC(C(SC2=C(OC)C3=C4SC=C3)=CC2=C4OC)=C1','COC(C=CS1)=C1C(SC=C2)=C2OC','COC1=CSC(C(SC2=C(OC)C3=C4SC=C3)=CC2=C4OC)=C1']","['COC1=CSC(C(SC2=C(OC)C3=C4SC=C3)=CC2=C4OC)=C1','COC(C=CS1)=C1C(SC=C2)=C2OC','COC1=CSC(C(SC2=C(OC)C3=C4SC=C3)=CC2=C4OC)=C1']",https://doi.org/10.1021/jacs.6b05280,"[154, 154, 43]"
C([Fr])1SC(C2=C(OCCOCCOCCOC)C=C(C3SC([Cs])=CC=3)S2)=C(OCCOCCOCCOC)C=1,C([Fr])1SC(C2=C(OCCOCCOCCOC)C=C(C3SC([Cs])=CC=3)S2)=C(OCCOCCOCCOC)C=1,HP,62.5,1.59,-4.38,-2.65,0.28,,167,-0.248666667,"['COC(C=CS1)=C1C(SC=C2)=C2OC','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']","['COC(C=CS1)=C1C(SC=C2)=C2OC','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1021/jacs.6b05280,"[154, 154, 3]"
O(CCOCCOCCOC)C1C=C(C2=CC3SC([Cs])=CC=3S2)SC=1C1=C(OCCOCCOCCOC)C=C([Fr])S1,O(CCOCCOCCOC)C1C=C(C2=CC3SC([Cs])=CC=3S2)SC=1C1=C(OCCOCCOCCOC)C=C([Fr])S1,HP,10,2,-4.4,,1.27,,261,,"['COC1=C(C2=C(C=CS2)OC)SC=C1','COC1=CSC(C2=CC3=C(S2)C=CS3)=C1','COC1=CSC(C2=CC3=C(S2)C=CS3)=C1']","['COC1=C(C2=C(C=CS2)OC)SC=C1','COC1=CSC(C2=CC3=C(S2)C=CS3)=C1','COC1=CSC(C2=CC3=C(S2)C=CS3)=C1']",https://doi.org/10.1073/pnas.1608780113,"[154, 154, 12]"
[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.CCCC[N+](CCCC)(CCCC)CCCC,[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.CCCC[N+](CCCC)(CCCC)CCCC,HP,,,-5.52,,8.18E-09,,4.09E-08,,['CC1=CSC(C2=C(C)C=CS2)=C1'],['CC1=CSC(C2=C(C)C=CS2)=C1'],https://doi.org/10.1002/macp.201700374,[4]
[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.CC[N+](CC)(CC)CC,[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.CC[N+](CC)(CC)CC,HP,,,-5.5,,8.21E-09,,1.81E-07,,['CC1=CSC(C2=C(C)C=CS2)=C1'],['CC1=CSC(C2=C(C)C=CS2)=C1'],https://doi.org/10.1002/macp.201700374,[4]
[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.C[N+](C)(C)C,[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.C[N+](C)(C)C,HP,,,-5.43,,2.67E-07,,2.19E-09,,['CC1=CSC(C2=C(C)C=CS2)=C1'],['CC1=CSC(C2=C(C)C=CS2)=C1'],https://doi.org/10.1002/macp.201700374,[4]
