poly1_smiles,poly2_smiles,class,Mn(kg/mol),Mw(kg/mol),PDI,HOMO(eV),LUMO(eV),u_h,u_e,process_method,max(Ion/Ioff),d,DOI,dimers1,dimers2,Atom_idx1,Atom_idx2
CCCCCCCCCCC(CCN1C(C2=C(N(C(C2=C1C3=CC=C(S3)C4=CC=C(S4)C5=CC=C([Cs])S5)=O)CCC(CCCCCCCCCC)CCCCCCCCCC)C6=CC=C([Fr])S6)=O)CCCCCCCCCC,CCCCCCCCCCC(CCN1C(C2=C(N(C(C2=C1C3=CC=C(S3)C4=CC=C(S4)C5=CC=C([Cs])S5)=O)CCC(CCCCCCCCCC)CCCCCCCCCC)C6=CC=C([Fr])S6)=O)CCCCCCCCCC,HP,30.7,,3.6,,,3.0,0.0,Spin-coating,,3.7,http://doi.org/10.1126/science.aau0759,"['c1csc(-c2cccs2)c1', 'CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'c1csc(-c2cccs2)c1', 'c1csc(-c2cccs2)c1']","['c1csc(-c2cccs2)c1', 'CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'c1csc(-c2cccs2)c1', 'c1csc(-c2cccs2)c1']","[[6, 0, 1, 2], [6, 8, 9, 10], [6, 8, 9, 10], [6, 0, 1, 2], [6, 0, 1, 2]]","[[6, 0, 1, 2], [6, 8, 9, 10], [6, 8, 9, 10], [6, 0, 1, 2], [6, 0, 1, 2]]"
N(C1=CC=C([Cs])C=C1)(C1C(C)=CC(C)=CC=1)C1C=CC([Fr])=CC=1,N(C1=CC=C([Cs])C=C1)(C1C(C)=CC(C)=CC=1)C1C=CC([Fr])=CC=1,HP,7.8,10.2,1.307692308,,,0.00331,0.0,Spin-coating,,,https://doi.org/10.1002/adfm.200390030,['c1ccc(N(c2ccccc2)c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1'],['c1ccc(N(c2ccccc2)c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1'],"[[13, 14, 15, 16]]","[[13, 14, 15, 16]]"
S1C(C2=CC=C([Cs])S2)=CC=C1C1C=CC2C3C(C(CCCCCCCC)(CCCCCCCC)C=2C=1)=CC([Fr])=CC=3,S1C(C2=CC=C([Cs])S2)=CC=C1C1C=CC2C3C(C(CCCCCCCC)(CCCCCCCC)C=2C=1)=CC([Fr])=CC=3,HP,7.0,17.3,2.471428571,,,0.0017,0.0,Spin-coating,,,https://doi.org/10.1002/adfm.200390030,"['CC1(C)C2=CC=CC=C2C3=C1C=C(C=C3)C4=CC=CS4','C1(C2=CC=CS2)=CC=CS1','CC1(C)C2=CC=CC=C2C3=C1C=C(C=C3)C4=CC=CS4']","['CC1(C)C2=CC=CC=C2C3=C1C=C(C=C3)C4=CC=CS4','C1(C2=CC=CS2)=CC=CS1','CC1(C)C2=CC=CC=C2C3=C1C=C(C=C3)C4=CC=CS4']","[[8,9,10,11],[0,1,2,3],[8,9,10,11]]","[[8,9,10,11],[0,1,2,3],[8,9,10,11]]"
C(C(CCCCCC)CN1C2C=C(C3=C(N=C([Cs])S3)CCCCCCCC)SC=2C2=C1C=C(C1SC([Fr])=NC=1CCCCCCCC)S2)CCCCCCC,C(C(CCCCCC)CN1C2C=C(C3=C(N=C([Cs])S3)CCCCCCCC)SC=2C2=C1C=C(C1SC([Fr])=NC=1CCCCCCCC)S2)CCCCCCC,HP,9.0,,2.0,-5.23,-3.48,0.042,0.0,Drop-cast,1000000,,https://doi.org/10.1002/adfm.200900926,"['Cc1csc(-c2nc(C)cs2)n1', 'Cc1ncsc1-c1cc2c(s1)c1sccc1n2C', 'Cc1ncsc1-c1cc2c(s1)c1sccc1n2C']","['Cc1csc(-c2nc(C)cs2)n1', 'Cc1ncsc1-c1cc2c(s1)c1sccc1n2C', 'Cc1ncsc1-c1cc2c(s1)c1sccc1n2C']","[[3, 4, 5, 6], [4, 5, 6, 7], [4, 5, 6, 7]]","[[3, 4, 5, 6], [4, 5, 6, 7], [4, 5, 6, 7]]"
C(C(CCCCCC)CN1C2C=C(C3=C(N=C([Cs])S3)CCCCCCCCCCCC)SC=2C2=C1C=C(C1SC([Fr])=NC=1CCCCCCCCCCCC)S2)CCCCCCC,C(C(CCCCCC)CN1C2C=C(C3=C(N=C([Cs])S3)CCCCCCCCCCCC)SC=2C2=C1C=C(C1SC([Fr])=NC=1CCCCCCCCCCCC)S2)CCCCCCC,HP,10.5,,2.0,-5.22,-3.55,0.14,0.0,Drop-cast,1000000,,https://doi.org/10.1002/adfm.200900926,"['Cc1csc(-c2nc(C)cs2)n1', 'Cc1ncsc1-c1cc2c(s1)c1sccc1n2C', 'Cc1ncsc1-c1cc2c(s1)c1sccc1n2C']","['Cc1csc(-c2nc(C)cs2)n1', 'Cc1ncsc1-c1cc2c(s1)c1sccc1n2C', 'Cc1ncsc1-c1cc2c(s1)c1sccc1n2C']","[[3, 4, 5, 6], [4, 5, 6, 7], [4, 5, 6, 7]]","[[3, 4, 5, 6], [4, 5, 6, 7], [4, 5, 6, 7]]"
CCCCCCCCCCCCC(CN1C(C2=C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C(C2=C1C3=CC=C([Cs])S3)=O)C4=CC=C(S4)C5=CC=C([Fr])C6=NSN=C56)=O)CCCCCCCCCC,CCCCCCCCCCCCC(CN1C(C2=C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C(C2=C1C3=CC=C([Cs])S3)=O)C4=CC=C(S4)C5=CC=C([Fr])C6=NSN=C56)=O)CCCCCCCCCC,HP,136.0,578.0,4.26,-5.1,-3.9,0.1,0.09,Spin-coating,,,https://doi.org/10.1002/adfm.201002651,"['c1csc(-c2cccc3nsnc23)c1', 'CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'c1csc(-c2cccc3nsnc23)c1']","['c1csc(-c2cccc3nsnc23)c1', 'CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'c1csc(-c2cccc3nsnc23)c1']","[[2, 3, 4, 5], [6, 8, 9, 10], [6, 8, 9, 10], [2, 3, 4, 5]]","[[2, 3, 4, 5], [6, 8, 9, 10], [6, 8, 9, 10], [2, 3, 4, 5]]"
CCCCCCCCCCCCC(CN1C(C2=C3C4=C(C(N(C(C4=CC(C5=CC=C(S5)/C=C/C6=CC=C([Cs])S6)=C3C1=O)=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C([Fr])=C2)=O)CCCCCCCCCC,CCCCCCCCCCCCC(CN1C(C2=C3C4=C(C(N(C(C4=CC(C5=CC=C(S5)/C=C/C6=CC=C([Cs])S6)=C3C1=O)=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C([Fr])=C2)=O)CCCCCCCCCC,HP,70.0,,1.98,-5.42,-4.0,0.16,1.8,Spin-coating,1.00E+06,,https://doi.org/10.1002/adfm.201301197,"['CN1C(=O)c2ccc3c4c(c(-c5cccs5)cc(c24)C1=O)C(=O)N(C)C3=O', 'CN1C(=O)c2ccc3c4c(c(-c5cccs5)cc(c24)C1=O)C(=O)N(C)C3=O', 'C=Cc1cccs1', 'C=Cc1cccs1']","['CN1C(=O)c2ccc3c4c(c(-c5cccs5)cc(c24)C1=O)C(=O)N(C)C3=O', 'CN1C(=O)c2ccc3c4c(c(-c5cccs5)cc(c24)C1=O)C(=O)N(C)C3=O', 'C=Cc1cccs1', 'C=Cc1cccs1']","[[9, 10, 11, 12], [9, 10, 11, 12], [0, 1, 2, 3], [0, 1, 2, 3]]","[[9, 10, 11, 12], [9, 10, 11, 12], [0, 1, 2, 3], [0, 1, 2, 3]]"
CCCCCCCCCCCCC(CN(C1=O)C(C2=CC=C(C3=CC(CCCCCCCCCCCC)=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=C(CCCCCCCCCCCC)C=C(C8=CC=C(S8)[Fr])S7)S6)C9=NSN=C59)S4)S3)S2)=C%10C1=C([Cs])N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C%10=O)CCCCCCCCCC,CCCCCCCCCCCCC(CN(C1=O)C(C2=CC=C(C3=CC(CCCCCCCCCCCC)=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=C(CCCCCCCCCCCC)C=C(C8=CC=C(S8)[Fr])S7)S6)C9=NSN=C59)S4)S3)S2)=C%10C1=C([Cs])N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C%10=O)CCCCCCCCCC,HP,28.0,,2.5,-5.04,-3.74,0.81,0.0,Drop-cast,1.00E+07,4,https://doi.org/10.1002/adfm.201304231,"['CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O','CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'Cc1csc(-c2cccs2)c1', 'Cc1ccsc1-c1cccs1','C1(C2=CC=CC3=NSN=C23)=CC=CS1','C1(C2=CC=CC3=NSN=C23)=CC=CS1','Cc1ccsc1-c1cccs1', 'Cc1csc(-c2cccs2)c1']","['CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O','CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'Cc1csc(-c2cccs2)c1', 'Cc1ccsc1-c1cccs1','C1(C2=CC=CC3=NSN=C23)=CC=CS1','C1(C2=CC=CC3=NSN=C23)=CC=CS1','Cc1ccsc1-c1cccs1', 'Cc1csc(-c2cccs2)c1']","[[6, 8, 9, 10], [6, 8, 9, 10], [3, 4, 5, 6], [1, 5, 6, 7], [2, 3, 4, 5], [2, 3, 4, 5], [1, 5, 6, 7], [3, 4, 5, 6]]","[[6, 8, 9, 10], [6, 8, 9, 10], [3, 4, 5, 6], [1, 5, 6, 7], [2, 3, 4, 5], [2, 3, 4, 5], [1, 5, 6, 7], [3, 4, 5, 6]]"
CCCCCCCCCCCCC(CCCCN(C1=O)C(C2=CC=C(C3=CC(CCCCCCCCCCCC)=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=C(CCCCCCCCCCCC)C=C(C8=CC=C(S8)[Cs])S7)S6)C9=NSN=C59)S4)S3)S2)=C%10C1=C([Fr])N(CCCCC(CCCCCCCCCC)CCCCCCCCCCCC)C%10=O)CCCCCCCCCC,CCCCCCCCCCCCC(CCCCN(C1=O)C(C2=CC=C(C3=CC(CCCCCCCCCCCC)=C(C4=CC=C(C5=CC=C(C6=CC=C(C7=C(CCCCCCCCCCCC)C=C(C8=CC=C(S8)[Cs])S7)S6)C9=NSN=C59)S4)S3)S2)=C%10C1=C([Fr])N(CCCCC(CCCCCCCCCC)CCCCCCCCCCCC)C%10=O)CCCCCCCCCC,HP,50.0,,2.1,-5.04,-3.78,2.95,0.0,Spin-coating,1.00E+06,3.6,https://doi.org/10.1002/adfm.201304231,"['CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O','CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'Cc1csc(-c2cccs2)c1', 'Cc1ccsc1-c1cccs1', 'C1(C2=CC=CC3=NSN=C23)=CC=CS1', 'C1(C2=CC=CC3=NSN=C23)=CC=CS1', 'Cc1ccsc1-c1cccs1','Cc1csc(-c2cccs2)c1']","['CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O','CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'Cc1csc(-c2cccs2)c1', 'Cc1ccsc1-c1cccs1', 'C1(C2=CC=CC3=NSN=C23)=CC=CS1', 'C1(C2=CC=CC3=NSN=C23)=CC=CS1', 'Cc1ccsc1-c1cccs1','Cc1csc(-c2cccs2)c1']","[[[6, 8, 9, 10], [6, 8, 9, 10], [3, 4, 5, 6], [1, 5, 6, 7], [2, 3, 4, 5], [2, 3, 4, 5], [1, 5, 6, 7], [3, 4, 5, 6]]","[[6, 8, 9, 10], [6, 8, 9, 10], [3, 4, 5, 6], [1, 5, 6, 7], [2, 3, 4, 5], [2, 3, 4, 5], [1, 5, 6, 7], [3, 4, 5, 6]]"
CCCCCCCCCCCCC1=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=C(CCCCCCCCCCCC)C=C(C6=CC=C(S6)[Cs])S5)S4)C7=NSN=C37)S2)SC(C8=CC=C(S8)C(N(C9=O)CCCCCCCCCCCCCCCCCC)=C%10C9=C([Fr])N(CCCCCCCCCCCCCCCCCC)C%10=O)=C1,CCCCCCCCCCCCC1=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=C(CCCCCCCCCCCC)C=C(C6=CC=C(S6)[Cs])S5)S4)C7=NSN=C37)S2)SC(C8=CC=C(S8)C(N(C9=O)CCCCCCCCCCCCCCCCCC)=C%10C9=C([Fr])N(CCCCCCCCCCCCCCCCCC)C%10=O)=C1,HP,14.0,,2.5,-5.06,-3.8,0.34,0.0,Spin-coating,1.00E+07,3.96,https://doi.org/10.1002/adfm.201304231,"['CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O','CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'Cc1csc(-c2cccs2)c1', 'Cc1ccsc1-c1cccs1', 'C1(C2=CC=CC3=NSN=C23)=CC=CS1', 'C1(C2=CC=CC3=NSN=C23)=CC=CS1', 'Cc1ccsc1-c1cccs1','Cc1csc(-c2cccs2)c1']","['CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O','CN1C=C2C(=O)N(C)C(c3cccs3)=C2C1=O', 'Cc1csc(-c2cccs2)c1', 'Cc1ccsc1-c1cccs1', 'C1(C2=CC=CC3=NSN=C23)=CC=CS1', 'C1(C2=CC=CC3=NSN=C23)=CC=CS1', 'Cc1ccsc1-c1cccs1','Cc1csc(-c2cccs2)c1']","[[[6, 8, 9, 10], [6, 8, 9, 10], [3, 4, 5, 6], [1, 5, 6, 7], [2, 3, 4, 5], [2, 3, 4, 5], [1, 5, 6, 7], [3, 4, 5, 6]]","[[6, 8, 9, 10], [6, 8, 9, 10], [3, 4, 5, 6], [1, 5, 6, 7], [2, 3, 4, 5], [2, 3, 4, 5], [1, 5, 6, 7], [3, 4, 5, 6]]"
